ML_away,ML_home,away_score,capture_time,current_line,current_total,event_id,event_status,home_score,minute,period,second
112.0,-127.0,,2020-12-16 18:17:57.786540-05:00,-2.0,42.0,176185664,NOT_STARTED,,,,
155.0,-180.0,,2020-12-16 18:17:57.786540-05:00,-3.0,47.0,179631818,NOT_STARTED,,,,
-148.0,130.0,,2020-12-16 18:17:57.786540-05:00,3.0,45.0,179631798,NOT_STARTED,,,,
950.0,-1667.0,,2020-12-16 18:17:57.786540-05:00,-17.5,44.0,175163786,NOT_STARTED,,,,
220.0,-265.0,,2020-12-16 18:17:57.786540-05:00,-6.0,49.0,175163782,NOT_STARTED,,,,
-175.0,150.0,,2020-12-16 18:17:57.786540-05:00,3.0,51.5,176073583,NOT_STARTED,,,,
-215.0,185.0,,2020-12-16 18:17:57.786540-05:00,5.0,44.0,175163815,NOT_STARTED,,,,
-670.0,510.0,,2020-12-16 18:17:57.786540-05:00,11.5,40.5,176185431,NOT_STARTED,,,,
138.0,-157.0,,2020-12-16 22:58:23.953414-05:00,-3.0,53.0,179631779,NOT_STARTED,,,,
-275.0,235.0,,2020-12-16 22:58:23.953414-05:00,6.0,50.0,176121455,NOT_STARTED,,,,
330.0,-400.0,,2020-12-16 22:58:23.953414-05:00,-8.0,51.5,179631780,NOT_STARTED,,,,
575.0,-770.0,,2020-12-16 22:58:23.953414-05:00,-13.0,47.5,179632598,NOT_STARTED,,,,
-235.0,200.0,,2020-12-16 22:58:23.953414-05:00,5.5,44.0,179631829,NOT_STARTED,,,,
265.0,-315.0,,2020-12-16 22:58:23.953414-05:00,-7.0,51.0,175321939,NOT_STARTED,,,,
-250.0,215.0,,2020-12-16 22:58:23.953414-05:00,6.5,50.5,179631782,NOT_STARTED,,,,
465.0,-590.0,,2020-12-16 22:58:23.953414-05:00,-10.5,,179633751,NOT_STARTED,,,,
112.0,-127.0,,2020-12-16 22:58:23.953414-05:00,-2.0,42.0,176185664,NOT_STARTED,,,,
155.0,-180.0,,2020-12-16 22:58:23.953414-05:00,-3.0,47.0,179631818,NOT_STARTED,,,,
-148.0,130.0,,2020-12-16 22:58:23.953414-05:00,3.0,45.0,179631798,NOT_STARTED,,,,
950.0,-1667.0,,2020-12-16 22:58:23.953414-05:00,-17.5,44.0,175163786,NOT_STARTED,,,,
220.0,-265.0,,2020-12-16 22:58:23.953414-05:00,-6.0,49.0,175163782,NOT_STARTED,,,,
-175.0,150.0,,2020-12-16 22:58:23.953414-05:00,3.0,51.5,176073583,NOT_STARTED,,,,
-215.0,185.0,,2020-12-16 22:58:23.953414-05:00,5.0,44.0,175163815,NOT_STARTED,,,,
-670.0,510.0,,2020-12-16 22:58:23.953414-05:00,11.5,40.5,176185431,NOT_STARTED,,,,
145.0,-167.0,,2020-12-17 13:15:47.346440-05:00,-3.5,52.5,179631779,NOT_STARTED,,,,
-275.0,225.0,,2020-12-17 13:15:47.346440-05:00,6.0,50.0,176121455,NOT_STARTED,,,,
330.0,-400.0,,2020-12-17 13:15:47.346440-05:00,-8.5,51.5,179631780,NOT_STARTED,,,,
575.0,-770.0,,2020-12-17 13:15:47.346440-05:00,-12.5,47.5,179632598,NOT_STARTED,,,,
280.0,-335.0,,2020-12-17 13:15:47.346440-05:00,-7.0,51.0,175321939,NOT_STARTED,,,,
-235.0,200.0,,2020-12-17 13:15:47.346440-05:00,5.5,44.0,179631829,NOT_STARTED,,,,
-250.0,215.0,,2020-12-17 13:15:47.346440-05:00,6.0,50.5,179631782,NOT_STARTED,,,,
107.0,-121.0,,2020-12-17 13:15:47.346440-05:00,-2.0,41.5,176185664,NOT_STARTED,,,,
440.0,-560.0,,2020-12-17 13:15:47.346440-05:00,-11.0,51.5,179633751,NOT_STARTED,,,,
155.0,-180.0,,2020-12-17 13:15:47.346440-05:00,-3.0,47.0,179631818,NOT_STARTED,,,,
-155.0,133.0,,2020-12-17 13:15:47.346440-05:00,3.0,45.0,179631798,NOT_STARTED,,,,
1000.0,-1667.0,,2020-12-17 13:15:47.346440-05:00,-17.5,44.0,175163786,NOT_STARTED,,,,
220.0,-265.0,,2020-12-17 13:15:47.346440-05:00,-6.0,49.0,175163782,NOT_STARTED,,,,
-175.0,150.0,,2020-12-17 13:15:47.346440-05:00,3.0,51.5,176073583,NOT_STARTED,,,,
-215.0,185.0,,2020-12-17 13:15:47.346440-05:00,5.0,44.0,175163815,NOT_STARTED,,,,
-715.0,550.0,,2020-12-17 13:15:47.346440-05:00,12.5,40.5,176185431,NOT_STARTED,,,,
-400.0,300.0,,2020-12-17 21:42:01.268877-05:00,7.0,51.5,179631779,STARTED,,,,
-275.0,225.0,,2020-12-17 21:42:01.268877-05:00,6.0,49.0,176121455,NOT_STARTED,,,,
330.0,-400.0,,2020-12-17 21:42:01.268877-05:00,-8.5,51.0,179631780,NOT_STARTED,,,,
575.0,-770.0,,2020-12-17 21:42:01.268877-05:00,-12.5,47.5,179632598,NOT_STARTED,,,,
280.0,-335.0,,2020-12-17 21:42:01.268877-05:00,-7.0,51.0,175321939,NOT_STARTED,,,,
-265.0,225.0,,2020-12-17 21:42:01.268877-05:00,6.0,44.5,179631829,NOT_STARTED,,,,
-250.0,215.0,,2020-12-17 21:42:01.268877-05:00,6.0,49.5,179631782,NOT_STARTED,,,,
440.0,-560.0,,2020-12-17 21:42:01.268877-05:00,-11.0,51.5,179633751,NOT_STARTED,,,,
