event_id,event_status,current_line,current_total,capture_time,period,minute,second,home_score,away_score,ML_away,ML_home
179639565,NOT_STARTED,-1.5,47.5,2020-12-27 11:22:17.905008-05:00,,,,,,105.0,-121.0
175163781,NOT_STARTED,3.0,50.0,2020-12-27 11:22:17.905008-05:00,,,,,,-157.0,135.0
179639567,NOT_STARTED,-3.5,53.5,2020-12-27 11:22:17.905008-05:00,,,,,,148.0,-175.0
176073549,NOT_STARTED,7.0,46.0,2020-12-27 11:22:17.905008-05:00,,,,,,-305.0,255.0
179639561,NOT_STARTED,-10.5,53.0,2020-12-27 11:23:19.228859-05:00,,,,,,400.0,-590.0
175163789,NOT_STARTED,-10.0,44.0,2020-12-27 11:23:19.228859-05:00,,,,,,360.0,-455.0
179639560,NOT_STARTED,8.5,46.5,2020-12-27 11:23:19.228859-05:00,,,,,,-420.0,340.0
175163824,NOT_STARTED,6.5,44.5,2020-12-27 11:23:19.228859-05:00,,,,,,-278.0,235.0
176125018,NOT_STARTED,0.5,43.0,2020-12-27 11:23:19.228859-05:00,,,,,,-109.0,-106.0
179640152,NOT_STARTED,-7.5,44.5,2020-12-27 11:23:19.228859-05:00,,,,,,280.0,-335.0
176121456,NOT_STARTED,-2.5,47.5,2020-12-27 11:23:19.228859-05:00,,,,,,120.0,-139.0
179639569,NOT_STARTED,0.0,42.0,2020-12-27 11:23:19.228859-05:00,,,,,,-108.0,-107.0
179639565,NOT_STARTED,-1.5,47.5,2020-12-27 11:23:19.228859-05:00,,,,,,105.0,-121.0
175163781,NOT_STARTED,3.0,50.0,2020-12-27 11:23:19.228859-05:00,,,,,,-157.0,135.0
179639567,NOT_STARTED,-3.5,53.5,2020-12-27 11:23:19.228859-05:00,,,,,,148.0,-175.0
176073549,NOT_STARTED,7.0,46.0,2020-12-27 11:23:19.228859-05:00,,,,,,-305.0,255.0
179639561,NOT_STARTED,-10.5,53.5,2020-12-27 11:24:18.358889-05:00,,,,,,400.0,-500.0
175163789,NOT_STARTED,-10.0,44.0,2020-12-27 11:24:18.358889-05:00,,,,,,360.0,-455.0
179639560,NOT_STARTED,8.5,46.5,2020-12-27 11:24:18.358889-05:00,,,,,,-420.0,340.0
175163824,NOT_STARTED,6.5,44.5,2020-12-27 11:24:18.358889-05:00,,,,,,-278.0,235.0
176125018,NOT_STARTED,0.5,43.0,2020-12-27 11:24:18.358889-05:00,,,,,,-109.0,-106.0
179640152,NOT_STARTED,-7.5,44.5,2020-12-27 11:24:18.358889-05:00,,,,,,280.0,-335.0
176121456,NOT_STARTED,-2.5,47.5,2020-12-27 11:24:18.358889-05:00,,,,,,120.0,-139.0
179639569,NOT_STARTED,0.0,42.0,2020-12-27 11:24:18.358889-05:00,,,,,,-108.0,-107.0
179639565,NOT_STARTED,-1.5,47.5,2020-12-27 11:24:18.358889-05:00,,,,,,105.0,-121.0
175163781,NOT_STARTED,3.0,50.0,2020-12-27 11:24:18.358889-05:00,,,,,,-157.0,135.0
179639567,NOT_STARTED,-3.5,53.5,2020-12-27 11:24:18.358889-05:00,,,,,,148.0,-175.0
176073549,NOT_STARTED,7.0,46.0,2020-12-27 11:24:18.358889-05:00,,,,,,-305.0,255.0
179639561,NOT_STARTED,-10.5,53.5,2020-12-27 11:25:18.610636-05:00,,,,,,400.0,-500.0
175163789,NOT_STARTED,-10.0,44.0,2020-12-27 11:25:18.610636-05:00,,,,,,360.0,-455.0
179639560,NOT_STARTED,8.0,46.5,2020-12-27 11:25:18.610636-05:00,,,,,,-420.0,340.0
175163824,NOT_STARTED,6.5,44.5,2020-12-27 11:25:18.610636-05:00,,,,,,-278.0,235.0
176125018,NOT_STARTED,0.5,42.5,2020-12-27 11:25:18.610636-05:00,,,,,,-109.0,-106.0
179640152,NOT_STARTED,-7.5,44.5,2020-12-27 11:25:18.610636-05:00,,,,,,280.0,-335.0
176121456,NOT_STARTED,-2.5,47.5,2020-12-27 11:25:18.610636-05:00,,,,,,120.0,-139.0
179639569,NOT_STARTED,0.0,42.0,2020-12-27 11:25:18.610636-05:00,,,,,,-108.0,-107.0
179639565,NOT_STARTED,-1.5,47.5,2020-12-27 11:25:18.610636-05:00,,,,,,105.0,-121.0
175163781,NOT_STARTED,3.0,50.0,2020-12-27 11:25:18.610636-05:00,,,,,,-157.0,135.0
179639567,NOT_STARTED,-3.5,53.5,2020-12-27 11:25:18.610636-05:00,,,,,,148.0,-175.0
176073549,NOT_STARTED,7.0,46.0,2020-12-27 11:25:18.610636-05:00,,,,,,-305.0,255.0
179639561,NOT_STARTED,-10.5,53.5,2020-12-27 11:26:19.430292-05:00,,,,,,400.0,-500.0
175163789,NOT_STARTED,-10.0,44.0,2020-12-27 11:26:19.430292-05:00,,,,,,360.0,-455.0
179639560,NOT_STARTED,8.0,46.5,2020-12-27 11:26:19.430292-05:00,,,,,,-420.0,340.0
175163824,NOT_STARTED,6.0,44.0,2020-12-27 11:26:19.430292-05:00,,,,,,-275.0,225.0
176125018,NOT_STARTED,0.5,42.0,2020-12-27 11:26:19.430292-05:00,,,,,,-109.0,-106.0
179640152,NOT_STARTED,-7.5,45.0,2020-12-27 11:26:19.430292-05:00,,,,,,280.0,-335.0
176121456,NOT_STARTED,-2.5,47.5,2020-12-27 11:26:19.430292-05:00,,,,,,120.0,-139.0
179639569,NOT_STARTED,0.0,42.0,2020-12-27 11:26:19.430292-05:00,,,,,,-108.0,-107.0
179639565,NOT_STARTED,-1.5,47.5,2020-12-27 11:26:19.430292-05:00,,,,,,105.0,-121.0
175163781,NOT_STARTED,3.0,50.0,2020-12-27 11:26:19.430292-05:00,,,,,,-157.0,135.0
179639567,NOT_STARTED,-3.5,53.5,2020-12-27 11:26:19.430292-05:00,,,,,,148.0,-175.0
176073549,NOT_STARTED,7.0,46.0,2020-12-27 11:26:19.430292-05:00,,,,,,-305.0,255.0
179639561,NOT_STARTED,-10.5,54.0,2020-12-27 11:27:18.391448-05:00,,,,,,400.0,-500.0
175163789,NOT_STARTED,-10.0,44.0,2020-12-27 11:27:18.391448-05:00,,,,,,360.0,-455.0
179639560,NOT_STARTED,8.0,46.5,2020-12-27 11:27:18.391448-05:00,,,,,,-420.0,340.0
175163824,NOT_STARTED,6.5,44.0,2020-12-27 11:27:18.391448-05:00,,,,,,-275.0,225.0
176125018,NOT_STARTED,0.5,42.0,2020-12-27 11:27:18.391448-05:00,,,,,,-109.0,-106.0
179640152,NOT_STARTED,-7.5,45.0,2020-12-27 11:27:18.391448-05:00,,,,,,280.0,-335.0
176121456,NOT_STARTED,-2.5,47.5,2020-12-27 11:27:18.391448-05:00,,,,,,120.0,-139.0
179639569,NOT_STARTED,0.0,42.0,2020-12-27 11:27:18.391448-05:00,,,,,,-108.0,-107.0
179639565,NOT_STARTED,-1.5,47.5,2020-12-27 11:27:18.391448-05:00,,,,,,105.0,-121.0
175163781,NOT_STARTED,3.0,50.0,2020-12-27 11:27:18.391448-05:00,,,,,,-157.0,135.0
179639567,NOT_STARTED,-3.0,53.5,2020-12-27 11:27:18.391448-05:00,,,,,,145.0,-175.0
176073549,NOT_STARTED,7.0,46.0,2020-12-27 11:27:18.391448-05:00,,,,,,-305.0,255.0
179639561,NOT_STARTED,-10.5,53.5,2020-12-27 11:28:18.200508-05:00,,,,,,400.0,-500.0
175163789,NOT_STARTED,-10.0,44.0,2020-12-27 11:28:18.200508-05:00,,,,,,360.0,-455.0
179639560,NOT_STARTED,8.0,46.5,2020-12-27 11:28:18.200508-05:00,,,,,,-420.0,340.0
175163824,NOT_STARTED,6.0,44.0,2020-12-27 11:28:18.200508-05:00,,,,,,-275.0,225.0
176125018,NOT_STARTED,0.5,42.0,2020-12-27 11:28:18.200508-05:00,,,,,,-109.0,-106.0
179640152,NOT_STARTED,-7.5,45.0,2020-12-27 11:28:18.200508-05:00,,,,,,280.0,-335.0
176121456,NOT_STARTED,-2.5,47.5,2020-12-27 11:28:18.200508-05:00,,,,,,120.0,-139.0
179639569,NOT_STARTED,0.0,42.0,2020-12-27 11:28:18.200508-05:00,,,,,,-108.0,-107.0
179639565,NOT_STARTED,-1.5,47.5,2020-12-27 11:28:18.200508-05:00,,,,,,105.0,-121.0
175163781,NOT_STARTED,3.0,50.0,2020-12-27 11:28:18.200508-05:00,,,,,,-157.0,135.0
179639567,NOT_STARTED,-3.0,53.5,2020-12-27 11:28:18.200508-05:00,,,,,,150.0,-175.0
176073549,NOT_STARTED,7.0,46.0,2020-12-27 11:28:18.200508-05:00,,,,,,-305.0,255.0
179639561,NOT_STARTED,-10.5,54.0,2020-12-27 11:29:18.018074-05:00,,,,,,400.0,-500.0
175163789,NOT_STARTED,-10.0,44.0,2020-12-27 11:29:18.018074-05:00,,,,,,360.0,-455.0
179639560,NOT_STARTED,8.0,46.5,2020-12-27 11:29:18.018074-05:00,,,,,,-420.0,340.0
175163824,NOT_STARTED,6.0,44.0,2020-12-27 11:29:18.018074-05:00,,,,,,-275.0,225.0
176125018,NOT_STARTED,0.5,42.0,2020-12-27 11:29:18.018074-05:00,,,,,,-109.0,-106.0
179640152,NOT_STARTED,-7.5,45.0,2020-12-27 11:29:18.018074-05:00,,,,,,280.0,-335.0
176121456,NOT_STARTED,-2.5,47.5,2020-12-27 11:29:18.018074-05:00,,,,,,120.0,-139.0
179639569,NOT_STARTED,0.0,42.0,2020-12-27 11:29:18.018074-05:00,,,,,,-108.0,-107.0
179639565,NOT_STARTED,-1.5,47.5,2020-12-27 11:29:18.018074-05:00,,,,,,105.0,-121.0
175163781,NOT_STARTED,3.0,50.0,2020-12-27 11:29:18.018074-05:00,,,,,,-157.0,135.0
179639567,NOT_STARTED,-3.0,53.5,2020-12-27 11:29:18.018074-05:00,,,,,,150.0,-175.0
176073549,NOT_STARTED,7.0,46.0,2020-12-27 11:29:18.018074-05:00,,,,,,-305.0,255.0
179639561,NOT_STARTED,-10.5,54.0,2020-12-27 11:30:18.601679-05:00,,,,,,400.0,-500.0
175163789,NOT_STARTED,-10.0,44.0,2020-12-27 11:30:18.601679-05:00,,,,,,360.0,-455.0
179639560,NOT_STARTED,8.5,46.5,2020-12-27 11:30:18.601679-05:00,,,,,,-420.0,340.0
175163824,NOT_STARTED,6.0,44.0,2020-12-27 11:30:18.601679-05:00,,,,,,-275.0,225.0
176125018,NOT_STARTED,0.5,42.0,2020-12-27 11:30:18.601679-05:00,,,,,,-109.0,-106.0
179640152,NOT_STARTED,-7.5,45.0,2020-12-27 11:30:18.601679-05:00,,,,,,280.0,-335.0
176121456,NOT_STARTED,-2.5,47.5,2020-12-27 11:30:18.601679-05:00,,,,,,120.0,-139.0
179639569,NOT_STARTED,0.0,42.0,2020-12-27 11:30:18.601679-05:00,,,,,,-108.0,-107.0
179639565,NOT_STARTED,-1.5,47.5,2020-12-27 11:30:18.601679-05:00,,,,,,105.0,-121.0
175163781,NOT_STARTED,3.0,50.0,2020-12-27 11:30:18.601679-05:00,,,,,,-157.0,135.0
179639567,NOT_STARTED,-3.0,53.5,2020-12-27 11:30:18.601679-05:00,,,,,,150.0,-175.0
176073549,NOT_STARTED,7.0,46.0,2020-12-27 11:30:18.601679-05:00,,,,,,-305.0,255.0
179639561,NOT_STARTED,-10.5,53.5,2020-12-27 11:31:19.038567-05:00,,,,,,400.0,-500.0
175163789,NOT_STARTED,-10.0,44.0,2020-12-27 11:31:19.038567-05:00,,,,,,360.0,-455.0
179639560,NOT_STARTED,8.5,46.5,2020-12-27 11:31:19.038567-05:00,,,,,,-420.0,340.0
175163824,NOT_STARTED,6.0,44.0,2020-12-27 11:31:19.038567-05:00,,,,,,-275.0,225.0
176125018,NOT_STARTED,0.5,42.0,2020-12-27 11:31:19.038567-05:00,,,,,,-109.0,-106.0
179640152,NOT_STARTED,-7.5,45.0,2020-12-27 11:31:19.038567-05:00,,,,,,280.0,-335.0
176121456,NOT_STARTED,-2.5,47.5,2020-12-27 11:31:19.038567-05:00,,,,,,120.0,-139.0
179639569,NOT_STARTED,0.0,42.0,2020-12-27 11:31:19.038567-05:00,,,,,,-108.0,-107.0
179639565,NOT_STARTED,-1.5,47.5,2020-12-27 11:31:19.038567-05:00,,,,,,105.0,-121.0
175163781,NOT_STARTED,3.0,50.0,2020-12-27 11:31:19.038567-05:00,,,,,,-157.0,135.0
179639567,NOT_STARTED,-3.0,53.5,2020-12-27 11:31:19.038567-05:00,,,,,,150.0,-175.0
176073549,NOT_STARTED,7.0,46.0,2020-12-27 11:31:19.038567-05:00,,,,,,-305.0,255.0
179639561,NOT_STARTED,-10.5,53.5,2020-12-27 11:32:23.722835-05:00,,,,,,400.0,-500.0
175163789,NOT_STARTED,-10.0,44.0,2020-12-27 11:32:23.722835-05:00,,,,,,360.0,-455.0
179639560,NOT_STARTED,8.5,46.5,2020-12-27 11:32:23.722835-05:00,,,,,,-420.0,340.0
175163824,NOT_STARTED,6.0,44.0,2020-12-27 11:32:23.722835-05:00,,,,,,-275.0,225.0
176125018,NOT_STARTED,0.5,42.0,2020-12-27 11:32:23.722835-05:00,,,,,,-109.0,-106.0
179640152,NOT_STARTED,-7.5,45.0,2020-12-27 11:32:23.722835-05:00,,,,,,280.0,-335.0
176121456,NOT_STARTED,-2.5,47.5,2020-12-27 11:32:23.722835-05:00,,,,,,120.0,-139.0
179639569,NOT_STARTED,0.0,42.0,2020-12-27 11:32:23.722835-05:00,,,,,,-108.0,-107.0
179639565,NOT_STARTED,-1.5,47.5,2020-12-27 11:32:23.722835-05:00,,,,,,105.0,-121.0
175163781,NOT_STARTED,3.0,50.0,2020-12-27 11:32:23.722835-05:00,,,,,,-157.0,135.0
179639567,NOT_STARTED,-3.0,53.5,2020-12-27 11:32:23.722835-05:00,,,,,,150.0,-175.0
